prolific_id,stem_quiz_1_answers,stem_quiz_1_score,num_tab_switches_in_section_1,total_time_hidden_in_section_1,overplacement,overestimation,passing_threshold,track,path,performance,ball_color,ball_origin_estimation,schools_private_independent,schools_private_religious,schools_public_school,schools_homeschool,schools_online_school,schools_charter_school,schools_all_girls_school,schools_all_boys_school,schools_stem_oriented_school,track_decision,experience
test1,AAAAAAAAAA,0.2,0,0.0,90,9,9,noisy,explanation,Fail,black,Fail Box,True,False,True,True,True,False,False,False,False,0,
test1,AAAAAAAAAA,0.2,0,0.0,90,0,0,noisy,explanation,Pass,red,Fail Box,True,True,True,False,False,False,False,False,False,Hello,There
test2,AAAAAAAAAA,0.2,0,0.0,90,0,0,noisy,explanation,Pass,black,Pass Box,True,True,True,False,False,False,False,False,False,,
test1,AAAAAAAAAA,0.2,0,0.0,90,9,9,noisy,explanation,Fail,red,Fail Box,False,False,False,True,True,False,False,False,False,Hello,Test
mila,AAAAAAAAAA,0.2,0,0.0,50,2,3,noisy,explanation,Fail,red,Fail Box,True,True,True,False,False,False,True,False,True,,
mila,AAAAAAAAAA,0.2,0,0.0,50,2,2,noisy,explanation,Fail,red,Fail Box,True,True,True,False,False,False,True,False,True,Computer science,Great!
mila - b,AAAAAAAAAA,0.2,0,0.0,50,2,3,noisy,explanation,Fail,black,Fail Box,True,True,True,False,False,False,True,False,True,Math and Economics,Good
test3,AAAAAAAAAA,0.2,0,0.0,90,0,0,noisy,explanation,Pass,black,Pass Box,True,True,True,False,False,False,False,False,False,CS,Good
test4,AAAAAAAAAA,0.2,0,0.0,90,9,9,noisy,explanation,Fail,red,Pass Box,True,True,True,False,False,False,False,False,False,English,N/A
test1,AABBBCDCDB,0.7,1,5.162,60,5,6,noisy,explanation,Fail,red,Pass Box,True,True,True,False,False,False,True,False,True,"Computer Science, Software Engineering, Technical Program Management",Quick survey!
test2 - checking performance,AABBBCDCCC,0.7,0,0.0,60,5,6,noisy,explanation,Fail,black,Fail Box,True,True,True,False,False,False,False,False,False,,
test3 - 0 and 0 - should pass,AABBBCDCCC,0.7,0,0.0,50,0,0,noisy,explanation,Pass,red,Pass Box,False,False,False,False,False,False,False,False,False,,
test 4 - ,AABBBCDCCC,0.7,0,0.0,50,5,6,noisy,explanation,Pass,red,Pass Box,False,False,False,False,False,False,False,False,False,,
test4,AABBBCDCDD,0.6,0,0.0,90,9,9,noisy,explanation,Fail,red,Pass Box,True,False,True,False,False,False,False,False,False,,
test1,AACCCDDDBB,0.5,0,0.0,50,3,4,noisy,explanation,Pass,black,Pass Box,True,True,True,False,False,False,False,False,False,,Good
test,AAAAAAAAAA,0.2,0,0.0,0,1,1,noisy,explanation,Pass,black,Pass Box,False,False,False,False,True,True,False,False,False,,
test1,AAAAAAAAAA,0.2,0,0.0,90,9,9,noisy,explanation,Fail,red,Fail Box,True,True,True,False,False,False,False,False,False,,
test1,AAAAAAAAAA,0.2,0,0.0,90,0,0,noisy,explanation,Pass,black,Pass Box,True,True,True,False,False,False,False,False,False,,
test1,AAAAAAAAAA,0.2,0,0.0,90,9,9,noisy,explanation,Fail,black,Fail Box,True,True,False,False,False,False,False,False,False,,
N/A,AAAAAAAAAA,0.2,0,0.0,88,6,6,noisy,explanation,Fail,red,Not Sure,False,False,False,False,False,False,True,True,True,,
test,AAAAAAAAAA,0.2,0,0.0,100,0,0,noisy,explanation,Pass,red,Fail Box,True,True,True,True,True,True,True,True,True,CS,Nope
test 1,CAAACCDDDD,0.2,0,0.0,100,10,10,noisy,explanation,Fail,red,Fail Box,True,True,True,True,True,True,True,True,True,"CS, math",good
"test 3 - Pass, A",AAAAAAAAAA,0.2,0,0.0,0,0,0,noisy,explanation,Pass,red,Not Sure,False,False,False,False,False,False,False,False,False,,
"test 4 - Pass, B",AAAAAAAAAA,0.2,0,0.0,100,0,0,noisy,explanation,Pass,red,Pass Box,False,False,False,False,False,False,False,False,True,,
"Test 5, B fail",AAAAAAAAAA,0.2,0,0.0,100,10,10,noisy,explanation,Fail,black,Fail Box,True,True,False,False,False,False,False,False,False,hello,there
"Test 6 - Fail, B",AAAAAAAAAA,0.2,0,0.0,100,10,10,noisy,explanation,Fail,red,Not Sure,False,False,False,False,False,False,False,False,False,,
"test 7 - pass, A",AAAAAAAAAA,0.2,0,0.0,100,0,0,noisy,explanation,Pass,black,Pass Box,True,True,True,True,True,True,True,True,True,"CS, Math",Good
"test 2 - cheats, does not finish",_BD_B_BDB_,0.1,7,438.232,50,2,2,noisy,explanation,Fail,red,Not Sure,False,False,False,False,False,False,False,False,False,,
test 8,AABBBDDCDC,0.6,0,0.0,50,5,5,noisy,explanation,Pass,black,Pass Box,False,False,False,False,False,False,False,False,False,,
test 9 ,AACBBBDBBD,0.7,0,0.0,90,8,8,noisy,explanation,Fail,red,Pass Box,False,False,False,False,False,False,False,False,False,,
test 9 ,AAAACBBCDB,0.5,0,0.0,30,3,3,noisy,explanation,Pass,red,Pass Box,False,False,False,False,False,False,False,False,False,,
test 11,AAAAAAAAAB,0.3,1,3.127,20,2,2,noisy,explanation,Pass,red,Pass Box,True,True,True,True,True,True,True,True,True,Yay,Nice
