,Intro.1.player.prolific_id,Section_1.1.player.question1,Section_1.1.player.question2,Section_1.1.player.question3,Section_1.1.player.question4,Section_1.1.player.question5,Section_1.1.player.question6,Section_1.1.player.question7,Section_1.1.player.question8,Section_1.1.player.question9,Section_1.1.player.question10,Section_1.1.player.stem_quiz_1_answers,Section_1.1.player.stem_quiz_1_score,Section_1.1.player.num_tab_switches_in_section_1,Section_1.1.player.total_time_hidden_in_section_1,Section_2_3.1.player.track,Section_2_3.1.player.path,Section_2_3.1.player.info_structure,Section_2_3.1.player.performance,Section_2_3.1.player.ball_color,Section_2_3.1.player.overplacement,Section_2_3.1.player.overestimation,Section_2_3.1.player.passing_threshold,Section_2_3.1.player.ball_origin_estimation,Section_4_5.1.player.question1,Section_4_5.1.player.question2,Section_4_5.1.player.question3,Section_4_5.1.player.question4,Section_4_5.1.player.question5,Section_4_5.1.player.question6,Section_4_5.1.player.question7,Section_4_5.1.player.question8,Section_4_5.1.player.question9,Section_4_5.1.player.question10,Section_4_5.1.player.quiz_2_answers,Section_4_5.1.player.quiz_2_score,Section_4_5.1.player.preferred_second_survey,Section_4_5.1.player.num_tab_switches_in_section_5,Section_4_5.1.player.total_time_hidden_in_section_5,Section_6.1.player.question1,Section_6.1.player.question2,Section_6.1.player.question3,Section_6.1.player.question4,Section_6.1.player.question5,Section_6.1.player.question6,Section_6.1.player.question7,Section_6.1.player.question8,Section_6.1.player.question9,Section_6.1.player.question10,Section_6.1.player.question11,Section_6.1.player.risk_tolerance_answers,Section_7.1.player.schools_private_independent,Section_7.1.player.schools_private_religious,Section_7.1.player.schools_public_school,Section_7.1.player.schools_homeschool,Section_7.1.player.schools_online_school,Section_7.1.player.schools_charter_school,Section_7.1.player.schools_all_girls_school,Section_7.1.player.schools_all_boys_school,Section_7.1.player.schools_stem_oriented_school,Section_7.1.player.track_decision,Section_7.1.player.experience,Section_7.1.player.preferred_second_survey,Time taken,Total approvals,Ethnicity,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
0,67acab4438884c095874c5a8,A,A,D,B,B,B,D,C,C,A,AADBBBDCCA,0.8,0.0,0.0,noisy,random,negative,Pass,red,80.0,7.0,6.0,Pass Box,B,A,C,A,A,D,C,C,B,C,BACAADCCBC,0.9,STEM Track,0.0,0.0,R,R,R,R,R,R,C,C,C,C,C,RRRRRRCCCCC,0,0,1,0,0,0,0,0,0,I have always enjoyed STEM. I think it keeps the brain active.,Good! ,STEM Track,1025.0,5,White,High school diploma/A-levels,25,Female,White,United States,United States,United States,English,No,Part-Time
1,607e0606cdc6ca6d24343932,D,A,C,B,D,B,D,C,,,DACBDBDC__,0.6,0.0,0.0,noisy,random,ground,Pass,red,99.0,6.0,1.0,Pass Box,B,B,B,B,A,B,C,A,B,C,BBBBABCABC,0.6,STEM Track,0.0,0.0,R,R,R,R,C,C,C,C,C,C,C,RRRRCCCCCCC,0,0,1,0,0,0,0,0,0,I enjoy solving problems and making money.,,STEM Track,1190.0,419,White,Undergraduate degree (BA/BSc/other),21,Female,White,United States,United States,United States,English,Yes,Part-Time
3,657b13119af722654ad05679,A,A,D,C,B,B,D,C,A,C,AADCBBDCAC,0.6,0.0,0.0,noisy,random,positive,Pass,black,80.0,7.0,6.0,Pass Box,B,A,C,A,A,D,C,A,B,C,BACAADCABC,1.0,STEM Track,0.0,0.0,R,R,R,R,C,C,C,C,C,C,C,RRRRCCCCCCC,0,0,1,0,0,0,0,0,0,I find myself more successful in the STEM track.,I had a lot fun solving and answering the questions.,STEM Track,1230.0,845,South East Asian,Undergraduate degree (BA/BSc/other),26,Female,Asian,United States,United States,United States,Vietnamese,No,Unemployed (and job seeking)
5,5a7e2829000dab00018c6081,C,A,D,C,D,A,B,C,B,D,CADCDABCBD,0.2,0.0,0.0,noisy,random,negative,Fail,red,25.0,2.0,4.0,Pass Box,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,0.0,0.0,R,R,R,R,R,C,C,C,C,C,C,RRRRRCCCCCC,0,0,1,0,0,0,0,0,0,STEM seemed hard.,,Non-STEM Track,736.0,619,White,Technical/community college,34,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
6,663f24ed23e0359c4d0ba28b,D,B,A,C,B,D,D,D,B,C,DBACBDDDBC,0.2,0.0,0.0,noisy,random,positive,Pass,red,50.0,3.0,1.0,Pass Box,D,B,A,D,B,A,A,B,C,A,DBADBAABCA,0.7,Non-STEM Track,0.0,0.0,R,R,R,R,R,C,C,C,C,C,C,RRRRRCCCCCC,0,0,1,0,0,0,0,0,0,I feel as if I would do my best on the Non-STEM Track rather than the STEM track/,It was a fun test!,Non-STEM Track,853.0,244,Latino/Hispanic,High school diploma/A-levels,22,Male,Other,United States,United States,United States,Spanish,DATA_EXPIRED,DATA_EXPIRED
7,647652cb5644044df439e1fb,C,A,D,C,B,D,C,A,A,A,CADCBDCAAA,0.2,0.0,0.0,noisy,random,positive,Fail,red,56.0,5.0,4.0,Fail Box,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,0.0,0.0,R,R,R,R,R,C,C,C,C,C,C,RRRRRCCCCCC,0,0,1,0,0,0,0,0,0,I felt I could get more of the questions right since math is not my strong suite.,,Non-STEM Track,1006.0,2850,White,Undergraduate degree (BA/BSc/other),37,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
9,5fc1e71eff237c1f8708ef5a,C,C,A,D,A,A,B,A,B,C,CCADAABABC,0.0,0.0,0.0,noisy,random,ground,Fail,black,50.0,3.0,2.0,Pass Box,D,B,A,C,B,D,A,C,C,A,DBACBDACCA,0.8,Non-STEM Track,0.0,0.0,R,R,R,C,C,C,C,C,C,C,C,RRRCCCCCCCC,0,0,1,0,0,0,0,0,0,I always pick the more safe option,That I need to brush up on my math,Non-STEM Track,809.0,5257,White,Undergraduate degree (BA/BSc/other),28,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
10,673d25851173193daa4771ca,D,C,C,A,D,B,B,B,C,D,DCCADBBBCD,0.3,0.0,0.0,noisy,random,positive,Pass,black,25.0,1.0,2.0,Pass Box,A,C,C,D,A,B,D,C,B,B,ACCDABDCBB,0.3,STEM Track,0.0,0.0,R,R,R,R,R,R,R,R,C,C,C,RRRRRRRRCCC,0,0,1,0,0,0,0,0,0,"To be given another chance, thinking the problems would be easier.",It was fine.,STEM Track,831.0,287,White,High school diploma/A-levels,30,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
11,5d474d1fab2d280015bb0110,A,B,C,B,B,B,D,B,D,B,ABCBBBDBDB,0.7,0.0,0.0,noisy,random,negative,Pass,red,33.0,4.0,5.0,Pass Box,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,0.0,0.0,R,R,R,R,R,C,C,C,C,C,C,RRRRRCCCCCC,1,0,1,0,0,0,0,0,0,I was not a STEM major in college and struggle with those questions.,"This was fun, but stressful.",Non-STEM Track,518.0,2712,East Asian,Graduate degree (MA/MSc/MPhil/other),36,Male,Asian,Vietnam,United States,United States,Chinese,DATA_EXPIRED,DATA_EXPIRED
12,673cff9ac211051fd40a2c36,D,A,D,B,B,B,D,C,C,B,DADBBBDCCB,0.8,0.0,0.0,noisy,random,ground,Fail,black,90.0,9.0,9.0,Fail Box,B,C,B,A,A,D,C,A,B,C,BCBAADCABC,0.8,STEM Track,0.0,0.0,R,R,R,R,R,C,C,C,C,C,C,RRRRRCCCCCC,1,0,0,0,0,0,0,0,0,I chose the STEM track because of my deep curiosity and passion for understanding how things work.,The reward feels a bit too technical considering the effort required. It would be more appropriate if the reward aligned better with the level of work involved.,STEM Track,984.0,298,Rather not say,Undergraduate degree (BA/BSc/other),27,Male,Other,United States,United States,United States,English,No,Full-Time
