prolific_id,time_taken,total_approvals,ethnicity,highest_education,age,sex,ethnicity_simplified,country_of_birth,country_of_residence,nationality,language,student_status,employment_status,stem_quiz_1_answers,stem_quiz_1_score,section_1_num_tab_switches,section_1_time_hidden,info_structure,player_performance,overplacement,overestimation,passing_threshold,ball_origin_estimation,preferred_second_survey,section_5_num_tab_switches,section_5_time_hidden,ball_color,schools_private_independent,schools_private_religious,schools_public_school,schools_homeschool,schools_online_school,schools_charter_school,schools_all_girls_school,schools_all_boys_school,schools_stem_oriented_school,track_decision,experience,preferred_second_survey_explanation,stem_quiz_1_1,quiz_2_1,stem_quiz_1_2,quiz_2_2,stem_quiz_1_3,quiz_2_3,stem_quiz_1_4,quiz_2_4,stem_quiz_1_5,quiz_2_5,stem_quiz_1_6,quiz_2_6,stem_quiz_1_7,quiz_2_7,stem_quiz_1_8,quiz_2_8,stem_quiz_1_9,quiz_2_9,stem_quiz_1_10,quiz_2_10,risk_tolerance_1,risk_tolerance_2,risk_tolerance_3,risk_tolerance_4,risk_tolerance_5,risk_tolerance_6,risk_tolerance_7,risk_tolerance_8,risk_tolerance_9,risk_tolerance_10,risk_tolerance_11,continue_or_quit
5c8541b79c5a3000016b2597,413.0,6058,White,Undergraduate degree (BA/BSc/other),51,Male,White,Germany,United States,United States,English,No,Full-Time,DDCBCACBCD,0.3,0.0,0.0,positive,Fail,50.0,3.0,5.0,Fail Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,Much easier,,Non-STEM Track,D,D,D,B,C,A,B,C,C,B,A,D,C,A,B,B,C,C,D,D,R,R,R,C,C,C,C,C,C,C,C,0
652a68b774692c0a5cceba01,870.0,138,White,Graduate degree (MA/MSc/MPhil/other),27,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,DABCDBCABB,0.3,0.0,0.0,positive,Fail,25.0,3.0,4.0,Fail Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,"I have not taken math since I was 16 years old, and the first quiz confirmed I am absolutely not a mathematician. I love reading and writing, so gravitate towards non-STEM disciplines. ","I am worse at math than I remembered, that's for sure! But, it was fun to try to force my brain to try to remember how to work it out.",Non-STEM Track,D,D,A,B,B,A,C,C,D,B,B,D,C,A,A,B,B,C,B,D,R,R,R,R,R,R,R,C,C,C,C,0
5d8a65fe43543b0001a33e4b,770.0,424,White,Undergraduate degree (BA/BSc/other),48,Female,White,United States,United States,United States,English,No,Part-Time,BCACBACADA,0.1,0.0,0.0,positive,Fail,25.0,3.0,2.0,Fail Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,"I don't have a strong stem background, so I hoped that I would perform better in an alternate task.",Fun! ,Non-STEM Track,B,D,C,B,A,A,C,C,B,B,A,D,C,A,A,B,D,C,A,D,R,R,R,C,C,C,C,C,C,C,C,0
66f45672aa769deaf0cc6417,901.0,3,White,Undergraduate degree (BA/BSc/other),22,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,DDDCBBADCB,0.4,0.0,0.0,positive,Pass,10.0,0.0,0.0,Pass Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,I chose the non-stem track because I do not perform well regarding stem related tasks. Stem is not a strong suit of mine.,My experience was great! I think the study went smoothly!,Non-STEM Track,D,D,D,D,D,A,C,C,B,B,B,D,A,A,D,B,C,C,B,D,R,R,R,R,R,C,C,C,C,C,C,0
66e2e4974bf2eb1a77116882,1206.0,5,Black/African American,Undergraduate degree (BA/BSc/other),27,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),DADBDBDCAB,0.6,0.0,0.0,positive,Pass,0.0,6.0,4.0,Pass Box,STEM Track,0.0,0.0,red,1,0,1,0,0,0,0,0,0,I am good at it since my school days.,,STEM Track,D,B,A,A,D,C,B,A,D,C,B,D,D,C,C,A,A,B,B,A,R,R,C,C,C,C,C,C,C,C,C,1
66e53659bbbd7070ab7a6a3b,984.0,16,White,Graduate degree (MA/MSc/MPhil/other),47,Female,Other,United States,United States,United States,English,Yes,Full-Time,BBBCDACCAD,0.1,0.0,0.0,positive,Fail,20.0,4.0,2.0,Pass Box,Non-STEM Track,0.0,0.0,red,0,1,0,0,0,0,0,0,0,It was more flexible,,Non-STEM Track,B,D,B,B,B,A,C,B,D,B,A,D,C,B,C,B,A,C,D,D,R,C,C,C,C,R,C,R,C,R,R,0
66f46179fa81f408915abaaa,532.0,0,White,High school diploma/A-levels,33,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",BAACAAACBB,0.3,0.0,0.0,ground,Pass,50.0,1.0,3.0,Pass Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,I feel that I am better at non-STEM questions.,Great experience!,Non-STEM Track,B,D,A,B,A,A,C,C,A,B,A,D,A,A,C,B,B,C,B,D,R,R,R,R,R,C,C,C,C,C,C,0
66720b609998ec67e708dfb0,412.0,448,White,High school diploma/A-levels,32,Female,White,United States,United States,United States,English,No,Part-Time,ADBBDAACBD,0.3,1.0,5.042,negative,Pass,10.0,1.0,1.0,Fail Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,im not a math girly ,it was fine,Non-STEM Track,A,D,D,B,B,A,B,C,D,B,A,D,A,A,C,B,B,C,D,D,R,R,R,R,C,C,C,C,C,C,C,0
66d5bccce3bc16e181051a0d,610.0,5,White Sephardic Jew,Undergraduate degree (BA/BSc/other),63,Female,White,United States,United States,United States,English,No,Part-Time,BCACCCCCCC,0.2,0.0,0.0,ground,Pass,0.0,0.0,0.0,Pass Box,STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,do not really know,It was stressful. ,STEM Track,B,C,C,B,A,C,C,C,C,C,C,D,C,C,C,C,C,B,C,B,R,R,R,R,R,C,C,C,C,C,C,1
600fbe707a1fdb1a423f1cda,858.0,6,Other (please feel free to let us know your ethnicity via email),Technical/community college,30,Male,Mixed,United States,United States,United States,English,No,Part-Time,DCCCCCCBAD,0.1,0.0,0.0,ground,Pass,20.0,2.0,1.0,Pass Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,"I am better versed in literature, language, and the arts.",Its been so long since I've had to do math problems that I felt out of my element in that area.,Non-STEM Track,D,D,C,B,C,A,C,C,C,B,C,D,C,A,B,B,A,C,D,D,R,R,R,R,R,R,C,C,C,C,C,0
