rank,Section_1.1.player.stem_quiz_1_score
123.0,0.4
325.0,0.2
325.0,0.2
453.0,0.1
538.0,0.0
325.0,0.2
204.0,0.3
123.0,0.4
325.0,0.2
325.0,0.2
204.0,0.3
6.0,0.8
204.0,0.3
325.0,0.2
35.0,0.6
123.0,0.4
204.0,0.3
123.0,0.4
453.0,0.1
204.0,0.3
453.0,0.1
123.0,0.4
325.0,0.2
325.0,0.2
538.0,0.0
325.0,0.2
59.0,0.5
325.0,0.2
325.0,0.2
123.0,0.4
325.0,0.2
538.0,0.0
204.0,0.3
538.0,0.0
59.0,0.5
59.0,0.5
59.0,0.5
325.0,0.2
325.0,0.2
59.0,0.5
59.0,0.5
123.0,0.4
453.0,0.1
123.0,0.4
453.0,0.1
123.0,0.4
204.0,0.3
325.0,0.2
325.0,0.2
204.0,0.3
17.0,0.7
325.0,0.2
204.0,0.3
325.0,0.2
325.0,0.2
538.0,0.0
204.0,0.3
35.0,0.6
538.0,0.0
59.0,0.5
204.0,0.3
325.0,0.2
204.0,0.3
204.0,0.3
123.0,0.4
453.0,0.1
204.0,0.3
59.0,0.5
538.0,0.0
453.0,0.1
59.0,0.5
204.0,0.3
204.0,0.3
35.0,0.6
538.0,0.0
204.0,0.3
325.0,0.2
204.0,0.3
325.0,0.2
325.0,0.2
59.0,0.5
204.0,0.3
59.0,0.5
123.0,0.4
204.0,0.3
325.0,0.2
325.0,0.2
325.0,0.2
453.0,0.1
325.0,0.2
325.0,0.2
325.0,0.2
204.0,0.3
123.0,0.4
123.0,0.4
204.0,0.3
123.0,0.4
123.0,0.4
123.0,0.4
123.0,0.4
204.0,0.3
453.0,0.1
204.0,0.3
59.0,0.5
204.0,0.3
204.0,0.3
35.0,0.6
204.0,0.3
204.0,0.3
35.0,0.6
17.0,0.7
204.0,0.3
204.0,0.3
204.0,0.3
204.0,0.3
59.0,0.5
123.0,0.4
204.0,0.3
325.0,0.2
204.0,0.3
204.0,0.3
35.0,0.6
59.0,0.5
123.0,0.4
453.0,0.1
204.0,0.3
453.0,0.1
123.0,0.4
325.0,0.2
123.0,0.4
204.0,0.3
123.0,0.4
123.0,0.4
204.0,0.3
453.0,0.1
453.0,0.1
59.0,0.5
6.0,0.8
123.0,0.4
325.0,0.2
453.0,0.1
453.0,0.1
17.0,0.7
325.0,0.2
538.0,0.0
538.0,0.0
325.0,0.2
123.0,0.4
6.0,0.8
538.0,0.0
325.0,0.2
204.0,0.3
59.0,0.5
325.0,0.2
204.0,0.3
17.0,0.7
59.0,0.5
538.0,0.0
204.0,0.3
35.0,0.6
59.0,0.5
6.0,0.8
123.0,0.4
204.0,0.3
204.0,0.3
204.0,0.3
453.0,0.1
123.0,0.4
35.0,0.6
453.0,0.1
204.0,0.3
204.0,0.3
325.0,0.2
