Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Ethnicity,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66e9e6e3ec064619b07b9ade,612e3a35cdff046df8021629,APPROVED,Not Applicable,2024-09-17T20:30:35.851000Z,2024-09-17T20:47:30.911000Z,2024-09-17T20:47:35.033000Z,2024-09-17T20:47:31.810699Z,1016.0,C1BTHULB,18,White,Graduate degree (MA/MSc/MPhil/other),30,Female,White,United States,United States,United States,English,No,Full-Time
66e9e70b0dcc3d4695c490fa,66406fd262a847c71db3f825,APPROVED,Not Applicable,2024-09-17T20:31:11.930000Z,2024-09-17T20:45:33.869000Z,2024-09-17T20:45:38.338000Z,2024-09-17T20:45:35.851903Z,862.0,C1BTHULB,79,White,High school diploma/A-levels,20,Male,White,United States,United States,United States,English,No,Full-Time
66e9e71aaae1bd8adeadcbe4,5ff7daa1dd81f74ce4e1810b,APPROVED,Not Applicable,2024-09-17T20:31:26.469000Z,2024-09-17T20:40:43.494000Z,2024-09-17T20:40:45.609000Z,2024-09-17T20:40:45.012965Z,558.0,C1BTHULB,250,Latino/Hispanic,Undergraduate degree (BA/BSc/other),27,Male,White,United States,United States,United States,English,No,Full-Time
66e9e71ad810d2be3dc9e27d,5dc11777a4b6ac097d0d5ca5,APPROVED,Not Applicable,2024-09-17T20:31:27.229000Z,2024-09-17T20:50:33.727000Z,2024-09-17T21:42:03.750000Z,2024-09-17T21:52:56.224268Z,1147.0,C1BTHULB,1705,White,Graduate degree (MA/MSc/MPhil/other),27,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
66e9e720121e09cd94b5fc5b,611f06605cc840f6262c87ea,RETURNED,Not Applicable,2024-09-17T20:31:36.267000Z,,,2024-09-17T20:42:21.258105Z,,,2295,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66e9e72e4fc2d57cc3955e11,58a4b1b61521230001ebfd11,RETURNED,Not Applicable,2024-09-17T20:31:47.186000Z,,,2024-09-17T20:42:21.256750Z,,,1285,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66e9e78482e14f833b38100a,66a4619edb5ff0af0062c3b4,APPROVED,Not Applicable,2024-09-17T20:33:18.043000Z,2024-09-17T20:53:58.067000Z,2024-09-17T20:54:02.086000Z,2024-09-17T20:53:58.873612Z,1241.0,C1BTHULB,19,Black/African American,Undergraduate degree (BA/BSc/other),33,Female,Black,United States,United States,United States,English,Yes,Full-Time
66e9e7903b2e6e8255f24ccd,66e9c4a6dc3a587855e13d28,APPROVED,Not Applicable,2024-09-17T20:33:25.115000Z,2024-09-17T21:13:27.076000Z,2024-09-17T21:13:30.377000Z,2024-09-17T21:13:27.887769Z,2402.0,C1BTHULB,5,White,Undergraduate degree (BA/BSc/other),31,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
66e9e796cc122a8f1c713e7c,6679744334e5e79bb22ff51c,RETURNED,Not Applicable,2024-09-17T20:33:35.851000Z,,,2024-09-17T20:42:21.264821Z,,,10,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66e9e7a01c95e270205ce348,5d1ea1e069ae560018f60008,APPROVED,Not Applicable,2024-09-17T20:33:42.441000Z,2024-09-17T20:44:48.421000Z,2024-09-17T20:44:50.951000Z,2024-09-17T20:44:49.093492Z,666.0,C1BTHULB,402,White,Technical/community college,23,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
