,participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.drop,participant.single,participant.page_number,participant.oppo_list,participant.payoffs_list,participant.oppo_payoffs_list,participant.nodes_list,participant.oppo_nodes_list,participant.takes_list,participant.oppo_takes_list,participant.order,participant.finished,participant.prolificID,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.return_url,session.config.participation_fee,session.config.name,Intro.1.player.id_in_group,Intro.1.player.role,Intro.1.player.payoff,Intro.1.player.prolific_id,Intro.1.group.id_in_subsession,Intro.1.subsession.round_number,Section_1.1.player.id_in_group,Section_1.1.player.role,Section_1.1.player.payoff,Section_1.1.player.question1,Section_1.1.player.question2,Section_1.1.player.question3,Section_1.1.player.question4,Section_1.1.player.question5,Section_1.1.player.question6,Section_1.1.player.question7,Section_1.1.player.question8,Section_1.1.player.question9,Section_1.1.player.question10,Section_1.1.player.stem_quiz_1_answers,Section_1.1.player.stem_quiz_1_score,Section_1.1.player.num_tab_switches_in_section_1,Section_1.1.player.total_time_hidden_in_section_1,Section_1.1.group.id_in_subsession,Section_1.1.subsession.round_number,Section_2_3.1.player.id_in_group,Section_2_3.1.player.role,Section_2_3.1.player.payoff,Section_2_3.1.player.track,Section_2_3.1.player.path,Section_2_3.1.player.info_structure,Section_2_3.1.player.performance,Section_2_3.1.player.ball_color,Section_2_3.1.player.overplacement,Section_2_3.1.player.overestimation,Section_2_3.1.player.passing_threshold,Section_2_3.1.player.ball_origin_estimation,Section_2_3.1.group.id_in_subsession,Section_2_3.1.subsession.round_number,Section_4_5.1.player.id_in_group,Section_4_5.1.player.role,Section_4_5.1.player.payoff,Section_4_5.1.player.question1,Section_4_5.1.player.question2,Section_4_5.1.player.question3,Section_4_5.1.player.question4,Section_4_5.1.player.question5,Section_4_5.1.player.question6,Section_4_5.1.player.question7,Section_4_5.1.player.question8,Section_4_5.1.player.question9,Section_4_5.1.player.question10,Section_4_5.1.player.quiz_2_answers,Section_4_5.1.player.quiz_2_score,Section_4_5.1.player.preferred_second_survey,Section_4_5.1.player.parsed_questions,Section_4_5.1.player.num_tab_switches_in_section_5,Section_4_5.1.player.total_time_hidden_in_section_5,Section_4_5.1.player.passing_threshold,Section_4_5.1.group.id_in_subsession,Section_4_5.1.subsession.round_number,Section_6.1.player.id_in_group,Section_6.1.player.role,Section_6.1.player.payoff,Section_6.1.player.question1,Section_6.1.player.question2,Section_6.1.player.question3,Section_6.1.player.question4,Section_6.1.player.question5,Section_6.1.player.question6,Section_6.1.player.question7,Section_6.1.player.question8,Section_6.1.player.question9,Section_6.1.player.question10,Section_6.1.player.question11,Section_6.1.player.risk_tolerance_answers,Section_6.1.group.id_in_subsession,Section_6.1.subsession.round_number,Section_7.1.player.id_in_group,Section_7.1.player.role,Section_7.1.player.payoff,Section_7.1.player.schools_private_independent,Section_7.1.player.schools_private_religious,Section_7.1.player.schools_public_school,Section_7.1.player.schools_homeschool,Section_7.1.player.schools_online_school,Section_7.1.player.schools_charter_school,Section_7.1.player.schools_all_girls_school,Section_7.1.player.schools_all_boys_school,Section_7.1.player.schools_stem_oriented_school,Section_7.1.player.track_decision,Section_7.1.player.subjects,Section_7.1.player.experience,Section_7.1.player.preferred_second_survey,Section_7.1.group.id_in_subsession,Section_7.1.subsession.round_number,Exp2_Intro.1.player.id_in_group,Exp2_Intro.1.player.role,Exp2_Intro.1.player.payoff,Exp2_Intro.1.player.prolific_id,Exp2_Intro.1.group.id_in_subsession,Exp2_Intro.1.subsession.round_number,Exp2_Section_1.1.player.id_in_group,Exp2_Section_1.1.player.role,Exp2_Section_1.1.player.payoff,Exp2_Section_1.1.player.question1,Exp2_Section_1.1.player.question2,Exp2_Section_1.1.player.question3,Exp2_Section_1.1.player.question4,Exp2_Section_1.1.player.question5,Exp2_Section_1.1.player.question6,Exp2_Section_1.1.player.question7,Exp2_Section_1.1.player.question8,Exp2_Section_1.1.player.question9,Exp2_Section_1.1.player.question10,Exp2_Section_1.1.player.stem_quiz_1_answers,Exp2_Section_1.1.player.stem_quiz_1_score,Exp2_Section_1.1.player.num_tab_switches_in_section_1,Exp2_Section_1.1.player.total_time_hidden_in_section_1,Exp2_Section_1.1.group.id_in_subsession,Exp2_Section_1.1.subsession.round_number,Exp2_Section_2_3.1.player.id_in_group,Exp2_Section_2_3.1.player.role,Exp2_Section_2_3.1.player.payoff,Exp2_Section_2_3.1.player.track,Exp2_Section_2_3.1.player.path,Exp2_Section_2_3.1.player.preferred_info_structure,Exp2_Section_2_3.1.player.performance,Exp2_Section_2_3.1.player.ball_color,Exp2_Section_2_3.1.player.overplacement,Exp2_Section_2_3.1.player.overestimation,Exp2_Section_2_3.1.player.passing_threshold,Exp2_Section_2_3.1.player.ball_origin_estimation,Exp2_Section_2_3.1.group.id_in_subsession,Exp2_Section_2_3.1.subsession.round_number,Exp2_Section_4.1.player.id_in_group,Exp2_Section_4.1.player.role,Exp2_Section_4.1.player.payoff,Exp2_Section_4.1.player.schools_private_independent,Exp2_Section_4.1.player.schools_private_religious,Exp2_Section_4.1.player.schools_public_school,Exp2_Section_4.1.player.schools_homeschool,Exp2_Section_4.1.player.schools_online_school,Exp2_Section_4.1.player.schools_charter_school,Exp2_Section_4.1.player.schools_all_girls_school,Exp2_Section_4.1.player.schools_all_boys_school,Exp2_Section_4.1.player.schools_stem_oriented_school,Exp2_Section_4.1.player.subjects,Exp2_Section_4.1.player.experience,Exp2_Section_4.1.group.id_in_subsession,Exp2_Section_4.1.subsession.round_number,Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Ethnicity,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
0,3,swx81gdo,,0,18,18,Section_7,EndSurvey,2024-09-23 22:00:00.519793,1,,,0.0,,,,,,,,,,,,,,vjx2fex2,,,,,0,1.0,https://app.prolific.com/submissions/complete?cc=C1BTHULB,0.0,Experiment_1_Persistence,3,,0.0,63d2fe57eea8cacc91a44fdd,1,1,3,,0.0,A,A,B,C,D,B,D,B,A,A,AABCDBDBAA,0.4,0.0,0.0,1,1,3,,0.0,noisy,random,ground,Pass,black,5.0,1.0,1.0,Fail Box,1,1,3,,0.0,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,,0.0,0.0,1.0,1,1,3,,0.0,R,R,R,R,R,R,C,C,C,C,C,RRRRRRCCCCC,1,1,3,,0.0,0,0,1,0,0,0,0,0,0,because I'm not good at STEM,"psychology, counseling",those questions would have taken me all day to figure out (stem),Non-STEM Track,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f1e4d7d9cb1d7e166868dd,63d2fe57eea8cacc91a44fdd,APPROVED,Not Applicable,2024-09-23T21:59:56.526000Z,2024-09-23T22:10:53.148000Z,2024-09-23T22:11:28.745000Z,2024-09-23T22:12:02.354187Z,657.0,C1BTHULB,2479,White,Graduate degree (MA/MSc/MPhil/other),62,Female,White,United States,United States,United States,English,No,Part-Time
2,5,eerwc967,,0,18,18,Section_7,EndSurvey,2024-09-23 22:00:39.340564,1,,,0.0,,,,,,,,,,,,,,vjx2fex2,,,,,0,1.0,https://app.prolific.com/submissions/complete?cc=C1BTHULB,0.0,Experiment_1_Persistence,5,,0.0,65508fa67c2c79516f083504,1,1,5,,0.0,D,A,C,C,D,A,A,B,B,C,DACCDAABBC,0.2,0.0,0.0,1,1,5,,0.0,noisy,random,negative,Fail,red,50.0,4.0,10.0,Pass Box,1,1,5,,0.0,B,C,B,C,A,B,C,C,C,B,BCBCABCCCB,0.3,STEM Track,,0.0,0.0,10.0,1,1,5,,0.0,R,R,R,R,R,R,C,C,C,C,C,RRRRRRCCCCC,1,1,5,,0.0,0,0,1,0,0,0,0,0,0,Math is hard but understandable after a time,"Science, math, reading ",None thank you ,STEM Track,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f1e4ff96420dbe57626232,65508fa67c2c79516f083504,APPROVED,Not Applicable,2024-09-23T22:00:36.406000Z,2024-09-23T22:12:57.323000Z,2024-09-23T22:12:58.144000Z,2024-09-23T22:13:50.885839Z,741.0,C1BTHULB,518,White Mexican,Technical/community college,31,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,Full-Time
3,6,3j7h6nin,,0,18,18,Section_7,EndSurvey,2024-09-23 22:01:47.413684,1,,,0.0,,,,,,,,,,,,,,vjx2fex2,,,,,0,1.0,https://app.prolific.com/submissions/complete?cc=C1BTHULB,0.0,Experiment_1_Persistence,6,,0.0,649d83ecc7c342335f80496e,1,1,6,,0.0,D,C,D,,,,,,,,DCD,0.0,0.0,0.0,1,1,6,,0.0,noisy,random,ground,Fail,red,65.0,4.0,3.0,Fail Box,1,1,6,,0.0,B,A,C,,,D,C,,,,BACDC,0.3,STEM Track,,0.0,0.0,3.0,1,1,6,,0.0,R,R,R,R,C,C,C,C,C,C,C,RRRRCCCCCCC,1,1,6,,0.0,0,0,1,0,0,0,0,0,0,I am currently in a stem class.,I studied healthcare administration. I have worked in healthcare and customer service as well as a preK teacher.,It was stressful being given only 8 minutes.,STEM Track,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f1e53a5e304937fea1ddc9,649d83ecc7c342335f80496e,APPROVED,Not Applicable,2024-09-23T22:01:39.613000Z,2024-09-23T22:25:58.095000Z,2024-09-23T22:26:00.695000Z,2024-09-23T22:25:58.689736Z,1459.0,C1BTHULB,45,White,Undergraduate degree (BA/BSc/other),45,Female,White,United States,United States,United States,English,Yes,Full-Time
4,7,gobkv1ya,,0,18,18,Section_7,EndSurvey,2024-09-23 22:02:07.403599,1,,,0.0,,,,,,,,,,,,,,vjx2fex2,,,,,0,1.0,https://app.prolific.com/submissions/complete?cc=C1BTHULB,0.0,Experiment_1_Persistence,7,,0.0,5e8cab7ee76c7204ccc2eb24,1,1,7,,0.0,,,,C,B,B,C,C,C,B,CBBCCCB,0.0,0.0,0.0,1,1,7,,0.0,noisy,random,negative,Fail,red,40.0,4.0,5.0,Pass Box,1,1,7,,0.0,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,,0.0,0.0,5.0,1,1,7,,0.0,R,R,R,R,R,C,C,C,C,C,C,RRRRRCCCCCC,1,1,7,,0.0,0,1,1,0,0,0,0,0,0,I feel that I am stronger in non-STEM questions than STEM questions. ,"I studied Neuroscience for my undergraduate education, and have mostly been in STEM classes. However, math is not my strong suit which is why I picked non-STEM for this survey. ",I thought the instructions were very straightforward and I liked the layout of this survey.,Non-STEM Track,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f1e554175f4020b3973d1d,5e8cab7ee76c7204ccc2eb24,APPROVED,Not Applicable,2024-09-23T22:02:03.415000Z,2024-09-23T22:17:00.751000Z,2024-09-23T22:17:04.279000Z,2024-09-23T22:17:01.476511Z,898.0,C1BTHULB,143,South East Asian,Undergraduate degree (BA/BSc/other),24,Female,Asian,United States,United States,United States,English,No,Part-Time
5,8,rfajyh5f,,0,18,18,Section_7,EndSurvey,2024-09-23 22:03:04.584021,1,,,0.0,,,,,,,,,,,,,,vjx2fex2,,,,,0,1.0,https://app.prolific.com/submissions/complete?cc=C1BTHULB,0.0,Experiment_1_Persistence,8,,0.0,5f4581ccdbb07c189c15702c,1,1,8,,0.0,D,A,A,B,B,B,B,,,,DAABBBB,0.4,0.0,0.0,1,1,8,,0.0,noisy,random,ground,Fail,red,70.0,4.0,5.0,Fail Box,1,1,8,,0.0,B,A,C,C,A,D,C,B,C,C,BACCADCBCC,0.7,STEM Track,,0.0,0.0,5.0,1,1,8,,0.0,R,R,R,R,C,C,C,C,C,C,C,RRRRCCCCCCC,1,1,8,,0.0,0,1,1,0,1,0,0,0,0,"It was a practical choice. Also, I loved chemistry at the time. ",Chemistry and computer engineering. I've worked in teaching and publishing.,I was surprised and then delighted that this was a math quiz. I was distracted and beckoned often during the quiz unfortunately.,STEM Track,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f1e53cf6e10e20fb125ca7,5f4581ccdbb07c189c15702c,APPROVED,Not Applicable,2024-09-23T22:03:00.731000Z,2024-09-23T22:26:05.779000Z,2024-09-23T22:26:07.341000Z,2024-09-23T22:26:06.303891Z,1386.0,C1BTHULB,659,Caribbean,Undergraduate degree (BA/BSc/other),23,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
8,11,lrrtdf9f,,0,18,18,Section_7,EndSurvey,2024-09-23 22:04:20.429153,1,,,0.0,,,,,,,,,,,,,,vjx2fex2,,,,,0,1.0,https://app.prolific.com/submissions/complete?cc=C1BTHULB,0.0,Experiment_1_Persistence,11,,0.0,5c5c5313a3e64300012b5042,1,1,11,,0.0,D,C,B,C,A,B,B,A,C,D,DCBCABBACD,0.2,0.0,0.0,1,1,11,,0.0,noisy,random,negative,Fail,red,50.0,3.0,4.0,Pass Box,1,1,11,,0.0,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,,0.0,0.0,4.0,1,1,11,,0.0,R,R,R,R,C,C,C,C,C,C,C,RRRRCCCCCCC,1,1,11,,0.0,0,0,1,0,0,0,0,0,0,I assumed questions I could answer more confidently.,Math and social skills.,I enjoyed how fresh the survey felt.,Non-STEM Track,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f1e5d56a34f4ec03b32a5f,5c5c5313a3e64300012b5042,APPROVED,Not Applicable,2024-09-23T22:04:13.793000Z,2024-09-23T22:13:46.546000Z,2024-09-23T22:13:47.305000Z,2024-09-23T22:14:03.977821Z,573.0,C1BTHULB,2882,White,High school diploma/A-levels,27,Male,White,United States,United States,United States,English,No,Full-Time
10,13,e7p2i70t,,0,18,18,Section_7,EndSurvey,2024-09-23 22:05:50.853851,1,,,0.0,,,,,,,,,,,,,,vjx2fex2,,,,,0,1.0,https://app.prolific.com/submissions/complete?cc=C1BTHULB,0.0,Experiment_1_Persistence,13,,0.0,5b33034d975e260001e981c9,1,1,13,,0.0,B,A,B,C,C,A,A,A,A,A,BABCCAAAAA,0.1,0.0,0.0,1,1,13,,0.0,noisy,random,negative,Fail,red,30.0,2.0,5.0,Fail Box,1,1,13,,0.0,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,,0.0,0.0,5.0,1,1,13,,0.0,R,R,R,R,C,C,C,C,C,C,C,RRRRCCCCCCC,1,1,13,,0.0,0,0,1,0,0,0,0,0,0,I wasn't confident at all in my answers to the STEM quiz.,I'm currently studying Human Systems Engineering (which isn't too heavy on math - mainly statistics).,"Everything went smoothly, thank you!",Non-STEM Track,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f1e63795bddaf0f4bfb4ef,5b33034d975e260001e981c9,APPROVED,Not Applicable,2024-09-23T22:05:48.138000Z,2024-09-23T22:18:45.804000Z,2024-09-23T22:21:13.194000Z,2024-09-23T22:21:17.976186Z,778.0,C1BTHULB,2470,White,Technical/community college,29,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
11,14,u70nsf0k,,0,18,18,Section_7,EndSurvey,2024-09-23 22:06:09.090186,1,,,0.0,,,,,,,,,,,,,,vjx2fex2,,,,,0,1.0,https://app.prolific.com/submissions/complete?cc=C1BTHULB,0.0,Experiment_1_Persistence,14,,0.0,65af1cd44ec9136d74dc6c19,1,1,14,,0.0,,,,,,,,,,,,0.0,0.0,0.0,1,1,14,,0.0,noisy,random,ground,Fail,red,100.0,10.0,10.0,Pass Box,1,1,14,,0.0,B,A,C,A,A,D,C,A,D,C,BACAADCADC,0.9,STEM Track,,0.0,0.0,10.0,1,1,14,,0.0,C,C,R,R,C,C,C,C,C,C,C,CCRRCCCCCCC,1,1,14,,0.0,0,0,1,0,0,0,0,0,0,I did not,im not sure,,STEM Track,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f1e6350b454e88581be509,65af1cd44ec9136d74dc6c19,APPROVED,Not Applicable,2024-09-23T22:05:47.268000Z,2024-09-23T22:27:54.392000Z,2024-09-23T22:27:55.102000Z,2024-09-23T22:27:55.065219Z,1328.0,C1BTHULB,663,Latino/Hispanic,High school diploma/A-levels,28,Female,Other,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
12,16,5guqg8se,,0,18,18,Section_7,EndSurvey,2024-09-23 22:07:29.168553,1,,,0.0,,,,,,,,,,,,,,vjx2fex2,,,,,0,1.0,https://app.prolific.com/submissions/complete?cc=C1BTHULB,0.0,Experiment_1_Persistence,16,,0.0,666cf5a1910d898a3ee3bb73,1,1,16,,0.0,D,B,B,B,D,D,D,B,B,C,DBBBDDDBBC,0.2,0.0,0.0,1,1,16,,0.0,noisy,random,negative,Fail,red,50.0,3.0,4.0,Fail Box,1,1,16,,0.0,C,A,B,C,C,D,C,B,B,C,CABCCDCBBC,0.5,STEM Track,,0.0,0.0,4.0,1,1,16,,0.0,R,R,R,R,R,C,C,C,C,C,C,RRRRRCCCCCC,1,1,16,,0.0,0,0,1,0,0,0,0,0,0,I wanted to see the questions,early child hood education,it was okay,STEM Track,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f1e66f7e7ceddf7d311c5c,666cf5a1910d898a3ee3bb73,APPROVED,Not Applicable,2024-09-23T22:07:26.541000Z,2024-09-23T22:17:43.293000Z,2024-09-23T22:17:44.561000Z,2024-09-23T22:17:44.197827Z,617.0,C1BTHULB,284,Mixed,High school diploma/A-levels,31,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
13,17,xr6ymz5r,,0,18,18,Section_7,EndSurvey,2024-09-23 22:07:39.551367,1,,,0.0,,,,,,,,,,,,,,vjx2fex2,,,,,0,1.0,https://app.prolific.com/submissions/complete?cc=C1BTHULB,0.0,Experiment_1_Persistence,17,,0.0,60c8fdfd2a1d18de5c17bfcb,1,1,17,,0.0,D,A,C,C,D,B,,B,,,DACCDBB,0.3,0.0,0.0,1,1,17,,0.0,noisy,random,positive,Fail,red,50.0,2.0,10.0,Fail Box,1,1,17,,0.0,B,B,C,A,B,D,C,,,,BBCABDC,0.5,STEM Track,,1.0,53.566,10.0,1,1,17,,0.0,R,R,R,R,C,C,C,C,C,C,C,RRRRCCCCCCC,1,1,17,,0.0,0,0,1,0,0,0,0,0,0,Generally good at stem,Simple math,I was frustrated because in the first section I was pretty sure of the answer to at least one question that was not listed,STEM Track,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f1e6a202f0db9399810211,60c8fdfd2a1d18de5c17bfcb,APPROVED,Not Applicable,2024-09-23T22:07:35.602000Z,2024-09-23T22:31:59.210000Z,2024-09-23T22:32:41.945000Z,2024-09-23T22:33:45.606662Z,1464.0,C1BTHULB,396,White,Technical/community college,59,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
