ID,#
6290e064d34ecad7706ccb93,0
61644b17ec9f97f7485d5624,0
66549179a1cb5573cc49c790,0
6659ef479b424681dc3f60ba,0
63386db00f7528f25101593c,2
664c96f5fdfc411c8d0cd939,2
58c518d7b101a70001293900,0
60fdef558b926ecb4de631cf,2
611feee3fbf3a45d9af39eeb,0
5d654282986878001c2a5db7,0
65cb7abb2785ea70576a8347,1.98
663b842b57dff9e199c928db,0
665b223263a2144efc395bea,2
631f6e0b69d34cd131d923f8,1.98
6660d30221253395b7f16487,0
6598942c3d07928cc188ffdb,0
66218c8e08ca3c586108ec70,0
669d1e13adb50bc8c5501033,0
5ffe14ac36fe8d4717e86985,0
644c061ce861c17549323c00,2
659807fcc53622792be6d8bd,0
6095a3cfda27eb98bb3b74f0,0
62aa26c5843008383a1dd08a,0
61245769826057b69678987a,2
66328fe9e8a976c326ab19e1,0
65c140b80efce0ed096216e3,0
60430fc782b5752a7ae8d797,2
6659fc5225ebd63b4f7f1d56,2
5fa322092858085f30d5b011,2
66f1d346461c7dd7cec5bbe4,1.92
61531624b67f1ccd83e48d48,2
65e109ee06b278635a89cc19,2
5deadb731aaabf212ed16016,0
636148d7c918791f6fc8d86c,2
5fa46c0a5fc245089e298c1d,0
66b9a250c6a696f981b667cf,0
60ec601b8525af507f06373d,0
61118cf8dd195d72acb7594a,2
6642308f20a1f9975ec7ad19,0
6547c8a4e6c345f9da7d21ae,0
616de80c9d988b900e45e5d3,0
5f13b237c08bc13e4ef2e760,0
66f34136a8313908816fdcc3,1.92
60fdf104935a0ef0e93762b0,2
66eb8392a83124c440666fb1,0
6644cd2538b07b2b6aaa4376,2.0
65d76ebb8291ac6b90e131a7,1.94
639f9c5df69bccc14bb598b7,1.94
5e7fefe06c12706d47e35211,0
5fab34d5e971f1617667232e,1.94
66d80c477561b038cd0e43b6,0
65c10d8000af1af81e3f42ec,0
6100c3f0a1cd16bb87069625,0
65ca870d5ec4d7d40b27c58d,2
60fef0626d87d03fb002641e,0
655fa1d61a31921e732c6447,2
66ac000a448a79dc74f99132,1.98
6647b89b36a2cd9d343fe7c1,2
6542c81d37666b59c34d1b65,1.98
65c9c32a972eb42dca3511ec,2
66f566c89ef625f5c9be6c34,0
66cc7c20675a846fdf80ef4e,2.0
59565b1bbbb52400017ad4e1,0
65526310670362796e40bcf3,1.94
5af36fff59229a0001d1bd6a,1.94
5f24b0fc546c5a0c3c2e43b6,2
63b7992d848592c307fe1e49,2
65f86dd636b165bbeb7d6f56,2
644d50b6fe5bdb7e2bc629fa,1.98
5ca4d7e75d545300110b7545,2
5f3cdb1b1d75be5ac4ba7963,2
668b37077c15ef8634f2121c,0
600db78b56935a5dd8c759b3,2
65fc7d781c4722817f0463cd,0
6400f80179f04251a962fd22,1.98
6677553ea33f06b57a5b651c,1.98
5849a04df1b9b3000192bd54,0
5f4828f4dbc4a22d4c45910a,0
66c9da41266b99bdbbdad8e8,2
5a9867476219a30001d3368e,0
62fbd2c1d97aa039e9466d81,2
654142b51c0cbebefa6f3ea0,0
655f97cd4f1c17ae262fd0fa,1.94
6100587c08a78c1011fcce03,2
65d21b0da5bc04f3723f6257,0
642afc43c4ce339b0c2763d9,0
65957a6b8a8209299cb98f3b,0
5f1f2c053dd3620d41353827,0
653d1fee3e8e1291c9fbd1b8,0
6629396552374517c5c62d8f,0
66b637cc9e9cfec2e6ae7aca,2
