Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Ethnicity,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66f1e4d7d9cb1d7e166868dd,63d2fe57eea8cacc91a44fdd,APPROVED,Not Applicable,2024-09-23T21:59:56.526000Z,2024-09-23T22:10:53.148000Z,2024-09-23T22:11:28.745000Z,2024-09-23T22:12:02.354187Z,657.0,C1BTHULB,2479,White,Graduate degree (MA/MSc/MPhil/other),62,Female,White,United States,United States,United States,English,No,Part-Time
66f1e4ff96420dbe57626232,65508fa67c2c79516f083504,APPROVED,Not Applicable,2024-09-23T22:00:36.406000Z,2024-09-23T22:12:57.323000Z,2024-09-23T22:12:58.144000Z,2024-09-23T22:13:50.885839Z,741.0,C1BTHULB,518,White Mexican,Technical/community college,31,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,Full-Time
66f1e53a5e304937fea1ddc9,649d83ecc7c342335f80496e,APPROVED,Not Applicable,2024-09-23T22:01:39.613000Z,2024-09-23T22:25:58.095000Z,2024-09-23T22:26:00.695000Z,2024-09-23T22:25:58.689736Z,1459.0,C1BTHULB,45,White,Undergraduate degree (BA/BSc/other),45,Female,White,United States,United States,United States,English,Yes,Full-Time
66f1e53cf6e10e20fb125ca7,5f4581ccdbb07c189c15702c,APPROVED,Not Applicable,2024-09-23T22:03:00.731000Z,2024-09-23T22:26:05.779000Z,2024-09-23T22:26:07.341000Z,2024-09-23T22:26:06.303891Z,1386.0,C1BTHULB,659,Caribbean,Undergraduate degree (BA/BSc/other),23,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
66f1e554175f4020b3973d1d,5e8cab7ee76c7204ccc2eb24,APPROVED,Not Applicable,2024-09-23T22:02:03.415000Z,2024-09-23T22:17:00.751000Z,2024-09-23T22:17:04.279000Z,2024-09-23T22:17:01.476511Z,898.0,C1BTHULB,143,South East Asian,Undergraduate degree (BA/BSc/other),24,Female,Asian,United States,United States,United States,English,No,Part-Time
66f1e5d56a34f4ec03b32a5f,5c5c5313a3e64300012b5042,APPROVED,Not Applicable,2024-09-23T22:04:13.793000Z,2024-09-23T22:13:46.546000Z,2024-09-23T22:13:47.305000Z,2024-09-23T22:14:03.977821Z,573.0,C1BTHULB,2882,White,High school diploma/A-levels,27,Male,White,United States,United States,United States,English,No,Full-Time
66f1e6350b454e88581be509,65af1cd44ec9136d74dc6c19,APPROVED,Not Applicable,2024-09-23T22:05:47.268000Z,2024-09-23T22:27:54.392000Z,2024-09-23T22:27:55.102000Z,2024-09-23T22:27:55.065219Z,1328.0,C1BTHULB,663,Latino/Hispanic,High school diploma/A-levels,28,Female,Other,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66f1e63795bddaf0f4bfb4ef,5b33034d975e260001e981c9,APPROVED,Not Applicable,2024-09-23T22:05:48.138000Z,2024-09-23T22:18:45.804000Z,2024-09-23T22:21:13.194000Z,2024-09-23T22:21:17.976186Z,778.0,C1BTHULB,2470,White,Technical/community college,29,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
66f1e65825288afe75fa12ee,66bfa64db347261f46db6f96,APPROVED,Not Applicable,2024-09-23T22:06:25.293000Z,2024-09-23T22:16:26.755000Z,2024-09-23T22:16:29.631000Z,2024-09-23T22:16:27.427626Z,602.0,C1BTHULB,8,Mixed,Technical/community college,53,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
66f1e66f7e7ceddf7d311c5c,666cf5a1910d898a3ee3bb73,APPROVED,Not Applicable,2024-09-23T22:07:26.541000Z,2024-09-23T22:17:43.293000Z,2024-09-23T22:17:44.561000Z,2024-09-23T22:17:44.197827Z,617.0,C1BTHULB,284,Mixed,High school diploma/A-levels,31,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
