Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Ethnicity,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66f46bb0067495a48be128db,5c8541b79c5a3000016b2597,APPROVED,Not Applicable,2024-09-25T19:59:49.652000Z,2024-09-25T20:06:41.978000Z,2024-09-25T20:06:44.986000Z,2024-09-25T20:06:43.985925Z,413.0,C1BTHULB,6058,White,Undergraduate degree (BA/BSc/other),51,Male,White,Germany,United States,United States,English,No,Full-Time
66f46bb52f4f12c0cae62351,652a68b774692c0a5cceba01,APPROVED,Not Applicable,2024-09-25T19:59:55.804000Z,2024-09-25T20:14:25.550000Z,2024-09-25T20:19:22.348000Z,2024-09-25T20:15:36.870622Z,870.0,C1BTHULB,138,White,Graduate degree (MA/MSc/MPhil/other),27,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
66f46bc1e0a441d0dfa86eb8,5d8a65fe43543b0001a33e4b,APPROVED,Not Applicable,2024-09-25T20:00:08.691000Z,2024-09-25T20:12:58.154000Z,2024-09-25T21:19:00.794000Z,2024-09-25T20:15:10.486108Z,770.0,C1BTHULB,424,White,Undergraduate degree (BA/BSc/other),48,Female,White,United States,United States,United States,English,No,Part-Time
66f46bc4d69118a065268872,66f45672aa769deaf0cc6417,APPROVED,Not Applicable,2024-09-25T20:00:09.853000Z,2024-09-25T20:15:10.853000Z,2024-09-25T20:19:33.996000Z,2024-09-25T20:16:20.437905Z,901.0,C1BTHULB,3,White,Undergraduate degree (BA/BSc/other),22,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
66f46bca53c822294ecc6949,66e2e4974bf2eb1a77116882,APPROVED,Not Applicable,2024-09-25T20:00:18.173000Z,2024-09-25T20:20:24.020000Z,2024-09-25T20:20:26.828000Z,2024-09-25T20:20:25.063923Z,1206.0,C1BTHULB,5,Black/African American,Undergraduate degree (BA/BSc/other),27,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66f46bda99cdc8dae7a742b6,66e53659bbbd7070ab7a6a3b,APPROVED,Not Applicable,2024-09-25T20:00:42.008000Z,2024-09-25T20:17:05.426000Z,2024-09-25T20:19:25.565000Z,2024-09-25T20:17:18.440213Z,984.0,C1BTHULB,16,White,Graduate degree (MA/MSc/MPhil/other),47,Female,Other,United States,United States,United States,English,Yes,Full-Time
66f46bf068f1957776f80aab,66f46179fa81f408915abaaa,APPROVED,Not Applicable,2024-09-25T20:01:08.952000Z,2024-09-25T20:10:00.503000Z,2024-09-25T20:10:09.501000Z,2024-09-25T20:10:07.309804Z,532.0,C1BTHULB,0,White,High school diploma/A-levels,33,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66f46c14e9d49119686c4095,66720b609998ec67e708dfb0,APPROVED,Not Applicable,2024-09-25T20:01:28.677000Z,2024-09-25T20:08:20.158000Z,2024-09-25T20:08:21.061000Z,2024-09-25T20:08:20.969696Z,412.0,C1BTHULB,448,White,High school diploma/A-levels,32,Female,White,United States,United States,United States,English,No,Part-Time
66f46c17ae62f1e40de7f37f,66d5bccce3bc16e181051a0d,APPROVED,Not Applicable,2024-09-25T20:01:32.430000Z,2024-09-25T20:11:41.798000Z,2024-09-25T21:14:35.656000Z,2024-09-25T20:14:29.272899Z,610.0,C1BTHULB,5,White Sephardic Jew,Undergraduate degree (BA/BSc/other),63,Female,White,United States,United States,United States,English,No,Part-Time
66f46c22d904b188e090ad73,600fbe707a1fdb1a423f1cda,APPROVED,Not Applicable,2024-09-25T20:02:01.155000Z,2024-09-25T20:16:18.579000Z,2024-09-25T20:19:19.469000Z,2024-09-25T20:17:02.187297Z,858.0,C1BTHULB,6,Other (please feel free to let us know your ethnicity via email),Technical/community college,30,Male,Mixed,United States,United States,United States,English,No,Part-Time
66f46c7928313fdcdde0c848,5d47292b4bfe1600016925ac,APPROVED,Not Applicable,2024-09-25T20:03:09.765000Z,2024-09-25T20:15:55.372000Z,2024-09-25T20:19:18.512000Z,2024-09-25T20:16:52.078061Z,766.0,C1BTHULB,1293,White,Undergraduate degree (BA/BSc/other),31,Male,White,United States,United States,United States,English,No,Full-Time
66f46c7e7bf0919a72813ff9,6549876fa2301d20c2c9f79c,APPROVED,Not Applicable,2024-09-25T20:03:16.118000Z,2024-09-25T20:18:09.251000Z,2024-09-25T21:18:55.739000Z,2024-09-25T20:18:09.883777Z,894.0,C1BTHULB,383,White,High school diploma/A-levels,52,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66f46c83141f57e82eb1c9cc,61267e282a445af9eb95beae,APPROVED,Not Applicable,2024-09-25T20:03:19.596000Z,2024-09-25T20:18:05.670000Z,2024-09-25T20:19:23.375000Z,2024-09-25T20:18:06.235223Z,887.0,C1BTHULB,1626,White,High school diploma/A-levels,37,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66f46c8739a18098edc89a96,5d3700db048a4f001767b040,APPROVED,Not Applicable,2024-09-25T20:03:24.370000Z,2024-09-25T20:11:04.022000Z,2024-09-25T20:14:01.889000Z,2024-09-25T20:14:01.854279Z,460.0,C1BTHULB,778,White,Undergraduate degree (BA/BSc/other),26,Female,White,United States,United States,United States,English,Yes,Full-Time
66f46c93e26d53a4c16c0134,652396e2b5323ae8517c4ec9,APPROVED,Not Applicable,2024-09-25T20:03:48.146000Z,2024-09-25T20:10:51.611000Z,2024-09-25T20:10:55.587000Z,2024-09-25T20:10:52.350520Z,424.0,C1BTHULB,230,White,Technical/community college,27,Female,Other,Canada,United States,United States,English,Yes,DATA_EXPIRED
66f46ca0bf50e9c784c4b415,6607112e33d4fd1fb766d2e2,APPROVED,Not Applicable,2024-09-25T20:03:50.972000Z,2024-09-25T20:23:32.839000Z,2024-09-25T20:23:33.770000Z,2024-09-25T20:23:33.663453Z,1182.0,C1BTHULB,213,Black/African American,Undergraduate degree (BA/BSc/other),24,Male,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
66f46caeadaa632234b18d10,66ce2f9a9a9402052c85abb6,APPROVED,Not Applicable,2024-09-25T20:04:06.056000Z,2024-09-25T20:27:54.282000Z,2024-09-25T20:27:57.512000Z,2024-09-25T20:27:57.244586Z,1429.0,C1BTHULB,75,Other (please feel free to let us know your ethnicity via email),Graduate degree (MA/MSc/MPhil/other),50,Male,Other,Poland,United States,United States,Polish,No,Full-Time
66f46cbc016b5ccf98399b90,60cab9dd5a974695b32eb2ab,APPROVED,Not Applicable,2024-09-25T20:04:17.912000Z,2024-09-25T20:17:37.632000Z,2024-09-25T20:19:16.609000Z,2024-09-25T20:17:39.667235Z,800.0,C1BTHULB,921,White Sephardic Jew,Graduate degree (MA/MSc/MPhil/other),28,Female,Mixed,United States,United States,United States,English,Yes,DATA_EXPIRED
66f46d0ef65b13b9cda1a10f,66f3beed5ca742d8eaeca673,APPROVED,Not Applicable,2024-09-25T20:05:41.007000Z,2024-09-25T20:15:40.856000Z,2024-09-25T20:19:35.110000Z,2024-09-25T20:16:43.642681Z,600.0,C1BTHULB,7,White,Undergraduate degree (BA/BSc/other),24,Male,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66f46d28a5538168ae7732d3,66043185681ea0b36d451b01,APPROVED,Not Applicable,2024-09-25T20:06:05.467000Z,2024-09-25T20:16:21.515000Z,2024-09-25T20:19:17.990000Z,2024-09-25T20:17:03.659026Z,617.0,C1BTHULB,337,Black/African American,Undergraduate degree (BA/BSc/other),35,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66f46d2d22be0fe2ffd8671b,5d1bd1bd998087001c623a73,APPROVED,Not Applicable,2024-09-25T20:06:11.690000Z,2024-09-25T20:22:31.875000Z,2024-09-25T20:22:32.673000Z,2024-09-25T20:22:32.567111Z,981.0,C1BTHULB,738,White,Undergraduate degree (BA/BSc/other),33,Male,White,United States,United States,United States,English,No,Full-Time
66f46d44673e2dc5279f46ba,66e916a67081975f3b28341b,APPROVED,Not Applicable,2024-09-25T20:06:35.329000Z,2024-09-25T20:13:45.914000Z,2024-09-25T20:19:24.580000Z,2024-09-25T20:15:17.890939Z,431.0,C1BTHULB,8,East Asian,Undergraduate degree (BA/BSc/other),24,Female,Asian,United States,United States,United States,English,Yes,Unemployed (and job seeking)
66f46d6a2863bff100eddc9d,5dd0d2f02b033b190687eaee,APPROVED,Not Applicable,2024-09-25T20:07:12.406000Z,2024-09-25T20:22:02.197000Z,2024-09-25T20:22:04.592000Z,2024-09-25T20:22:03.102074Z,890.0,C1BTHULB,1348,Other (please feel free to let us know your ethnicity via email),Undergraduate degree (BA/BSc/other),70,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
