Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Ethnicity,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66f49be789f9b44a1ee661c7,66a403d685b8011f29d8cace,APPROVED,Not Applicable,2024-09-25T23:25:31.156000Z,2024-09-25T23:32:27.292000Z,2024-09-25T23:32:30.447000Z,2024-09-25T23:32:28.161940Z,417.0,C1BTHULB,6,Mixed,Technical/community college,43,Female,Other,United States,United States,United States,English,No,Full-Time
66f49c0e7128dd90ffcb1b1b,5924f4910a3e3e0001f1018e,APPROVED,Not Applicable,2024-09-25T23:26:12.090000Z,2024-09-25T23:35:20.103000Z,2024-09-25T23:35:23.504000Z,2024-09-25T23:35:20.880416Z,549.0,C1BTHULB,3484,South Asian,Undergraduate degree (BA/BSc/other),47,Male,Asian,United States,United States,United States,English,No,Part-Time
66f49c1ad904b188e090b76b,66f4741301fe3b3ef8362ab8,APPROVED,Not Applicable,2024-09-25T23:26:23.454000Z,2024-09-25T23:37:06.343000Z,2024-09-25T23:37:08.434000Z,2024-09-25T23:37:07.041613Z,643.0,C1BTHULB,8,Rather not say,High school diploma/A-levels,22,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
66f49c3034ef9f9cb9db7fa9,66bcc693015b9f04ddf0d858,APPROVED,Not Applicable,2024-09-25T23:26:46.697000Z,2024-09-25T23:42:45.364000Z,2024-09-25T23:42:48.354000Z,2024-09-25T23:42:46.014566Z,959.0,C1BTHULB,99,Mixed,High school diploma/A-levels,35,Female,Other,United States,United States,United States,English,No,Full-Time
66f49c36fe9a853f0934c82c,5b1200ffd282ff00015c0154,APPROVED,Not Applicable,2024-09-25T23:26:54.146000Z,2024-09-25T23:34:39.765000Z,2024-09-25T23:34:43.079000Z,2024-09-25T23:34:40.514140Z,466.0,C1BTHULB,2215,East Asian,High school diploma/A-levels,37,Male,Asian,United States,United States,United States,English,No,Full-Time
66f49c45b48ed79252a89425,66439aa2599ba2e93a6060be,APPROVED,Not Applicable,2024-09-25T23:27:06.951000Z,2024-09-25T23:39:52.867000Z,2024-09-25T23:40:26.393000Z,2024-09-25T23:40:22.500409Z,766.0,C1BTHULB,190,Latino/Hispanic,Undergraduate degree (BA/BSc/other),24,Male,Other,United States,United States,United States,English,No,Unemployed (and job seeking)
66f49c536fb95f12ef2c0beb,5edf975930f30b270a6d90c7,APPROVED,Not Applicable,2024-09-25T23:27:26.623000Z,2024-09-25T23:32:49.035000Z,2024-09-25T23:32:49.895000Z,2024-09-25T23:32:49.793236Z,323.0,C1BTHULB,3,White,Undergraduate degree (BA/BSc/other),27,Male,White,United States,United States,United States,English,No,Part-Time
66f49c587f8713ee039786ab,66a965386e7c4019aa30a91c,APPROVED,Not Applicable,2024-09-25T23:27:42.418000Z,2024-09-25T23:38:49.312000Z,2024-09-25T23:40:19.356000Z,2024-09-25T23:40:15.023428Z,667.0,C1BTHULB,21,White,High school diploma/A-levels,40,Female,White,United States,United States,United States,English,No,Part-Time
66f49c5910034d063f63c064,66b5830fb162e9d0650ff37d,APPROVED,Not Applicable,2024-09-25T23:27:53.245000Z,2024-09-25T23:43:29Z,2024-09-25T23:43:30.438000Z,2024-09-25T23:43:30.332779Z,936.0,C1BTHULB,25,Middle Eastern,Undergraduate degree (BA/BSc/other),27,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
66f49c7531a201ef4b69702a,656363e1970350a7d45fbb75,APPROVED,Not Applicable,2024-09-25T23:27:58.907000Z,2024-09-25T23:47:17.406000Z,2024-09-25T23:47:37.462000Z,2024-09-25T23:47:18.163622Z,1159.0,C1BTHULB,142,Mixed,Graduate degree (MA/MSc/MPhil/other),34,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
66f49c7aec3a4fe24fb1c13d,64332b93d1cde024292baf53,APPROVED,Not Applicable,2024-09-25T23:28:02.156000Z,2024-09-25T23:43:18.430000Z,2024-09-25T23:43:20.230000Z,2024-09-25T23:43:19.119051Z,917.0,C1BTHULB,1013,White,High school diploma/A-levels,51,Female,White,United States,United States,United States,English,No,Full-Time
66f49c9010034d063f63c071,59e8b9e96100f9000194a7fb,APPROVED,Not Applicable,2024-09-25T23:29:55.311000Z,2024-09-25T23:42:51.246000Z,2024-09-25T23:42:55.211000Z,2024-09-25T23:42:52.366587Z,776.0,C1BTHULB,4,Mixed,Secondary education (e.g. GED/GCSE),33,Female,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
66f49c93fa81f408915ac6f7,667ac00c047d4032dcc8c0bf,APPROVED,Not Applicable,2024-09-25T23:28:23.539000Z,2024-09-25T23:39:51.969000Z,2024-09-25T23:40:31.494000Z,2024-09-25T23:40:22.563733Z,689.0,C1BTHULB,76,East Asian,Undergraduate degree (BA/BSc/other),33,Female,Asian,China,United States,United States,Chinese,No,Full-Time
66f49cf326254353298c14fc,66d9ac1f7e6ebe7d5f9c0991,APPROVED,Not Applicable,2024-09-25T23:32:28.918000Z,2024-09-25T23:48:02.611000Z,2024-09-25T23:50:46.826000Z,2024-09-25T23:50:14.532044Z,934.0,C1BTHULB,9,Black/African American,Graduate degree (MA/MSc/MPhil/other),35,Female,Black,United States,United States,United States,English,No,Full-Time
66f49d00b50431517ccc64d9,66afc0d5fc45830162eb750e,APPROVED,Not Applicable,2024-09-25T23:30:18.028000Z,2024-09-26T00:02:55.436000Z,2024-09-26T00:03:47.573000Z,2024-09-26T00:03:16.900240Z,1958.0,C1BTHULB,127,Black/African American,Undergraduate degree (BA/BSc/other),53,Female,Black,United States,United States,United States,English,No,Full-Time
66f49d00f0af5581b4cd9663,66639c6e0338018d61a0f486,APPROVED,Not Applicable,2024-09-25T23:30:12.607000Z,2024-09-25T23:46:14.483000Z,2024-09-25T23:46:16.253000Z,2024-09-25T23:46:16.079236Z,962.0,C1BTHULB,253,Middle Eastern,Undergraduate degree (BA/BSc/other),23,Female,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
