,Intro.1.player.prolific_id,Section_1.1.player.question1,Section_1.1.player.question2,Section_1.1.player.question3,Section_1.1.player.question4,Section_1.1.player.question5,Section_1.1.player.question6,Section_1.1.player.question7,Section_1.1.player.question8,Section_1.1.player.question9,Section_1.1.player.question10,Section_1.1.player.stem_quiz_1_answers,Section_1.1.player.stem_quiz_1_score,Section_1.1.player.num_tab_switches_in_section_1,Section_1.1.player.total_time_hidden_in_section_1,Section_2_3.1.player.track,Section_2_3.1.player.path,Section_2_3.1.player.info_structure,Section_2_3.1.player.performance,Section_2_3.1.player.ball_color,Section_2_3.1.player.overplacement,Section_2_3.1.player.overestimation,Section_2_3.1.player.passing_threshold,Section_2_3.1.player.ball_origin_estimation,Section_4_5.1.player.question1,Section_4_5.1.player.question2,Section_4_5.1.player.question3,Section_4_5.1.player.question4,Section_4_5.1.player.question5,Section_4_5.1.player.question6,Section_4_5.1.player.question7,Section_4_5.1.player.question8,Section_4_5.1.player.question9,Section_4_5.1.player.question10,Section_4_5.1.player.quiz_2_answers,Section_4_5.1.player.quiz_2_score,Section_4_5.1.player.preferred_second_survey,Section_4_5.1.player.num_tab_switches_in_section_5,Section_4_5.1.player.total_time_hidden_in_section_5,Section_6.1.player.question1,Section_6.1.player.question2,Section_6.1.player.question3,Section_6.1.player.question4,Section_6.1.player.question5,Section_6.1.player.question6,Section_6.1.player.question7,Section_6.1.player.question8,Section_6.1.player.question9,Section_6.1.player.question10,Section_6.1.player.question11,Section_6.1.player.risk_tolerance_answers,Section_7.1.player.schools_private_independent,Section_7.1.player.schools_private_religious,Section_7.1.player.schools_public_school,Section_7.1.player.schools_homeschool,Section_7.1.player.schools_online_school,Section_7.1.player.schools_charter_school,Section_7.1.player.schools_all_girls_school,Section_7.1.player.schools_all_boys_school,Section_7.1.player.schools_stem_oriented_school,Section_7.1.player.track_decision,Section_7.1.player.experience,Section_7.1.player.preferred_second_survey,Time taken,Total approvals,Ethnicity,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
0,67358127d2ddef8a950df734,A,A,A,B,A,C,D,A,C,B,AAABACDACB,0.6,0.0,0.0,noisy,random,negative,Pass,red,60.0,5.0,5.0,Pass Box,B,A,C,C,A,D,C,A,B,C,BACCADCABC,0.9,STEM Track,0.0,0.0,R,R,R,R,R,R,R,R,R,R,C,RRRRRRRRRRC,0,0,1,0,0,0,0,0,0,To test my abilities ,not too bad,STEM Track,662.0,9,East Asian,Undergraduate degree (BA/BSc/other),21,Male,Asian,United States,United States,Vietnam,English,Yes,Part-Time
2,63368a7379eb43fa2105d971,B,B,B,C,D,A,C,A,D,C,BBBCDACADC,0.0,0.0,0.0,noisy,random,negative,Fail,black,5.0,2.0,1.0,Fail Box,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,1.0,2.52,R,R,R,R,R,C,C,C,C,C,C,RRRRRCCCCCC,0,0,1,0,0,0,0,0,0,I am horrible at those problems ,Very anxiety provoking ,Non-STEM Track,745.0,4841,White,Technical/community college,40,Male,White,United States,United States,United States,English,No,Full-Time
4,63614a46bd1e8547e0a8b8ba,B,C,B,A,A,B,C,C,D,A,BCBAABCCDA,0.2,1.0,0.72,noisy,random,ground,Pass,red,10.0,2.0,2.0,Fail Box,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,1.0,0.74,R,R,R,R,C,C,C,C,C,C,C,RRRRCCCCCCC,0,0,0,1,0,0,0,0,0,i'm not knowledgeable in the STEM area.,simple & straightforward,Non-STEM Track,1087.0,1771,White,High school diploma/A-levels,33,Male,White,United States,United States,United States,English,No,Full-Time
5,673350bbb92b09a7fbbb2f3f,,,,,,,,,,,__________,0.0,0.0,0.0,noisy,random,ground,Fail,black,60.0,4.0,6.0,Pass Box,,,,,,,,,,,__________,0.0,Non-STEM Track,0.0,0.0,R,C,C,C,C,C,C,C,C,C,C,RCCCCCCCCCC,0,0,1,0,0,0,0,0,0,It has good education quality, The experience was great,Non-STEM Track,2500.0,0,White,Graduate degree (MA/MSc/MPhil/other),34,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6,65957fe9e5da382be7bf68df,D,A,A,C,B,B,D,C,B,A,DAACBBDCBA,0.5,1.0,1.441,noisy,random,negative,Pass,red,50.0,4.0,5.0,Fail Box,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,0.0,0.0,R,R,C,C,C,C,C,C,C,C,C,RRCCCCCCCCC,0,1,0,0,0,0,1,0,0,I feel more confident with non-stem subjects ,No additional feedback,Non-STEM Track,698.0,196,South East Asian,Undergraduate degree (BA/BSc/other),29,Female,Asian,United States,United States,United States,English,No,DATA_EXPIRED
7,67354657253f396591767b63,D,A,A,B,D,B,C,A,D,,DAABDBCAD_,0.3,0.0,0.0,noisy,random,positive,Fail,red,70.0,5.0,5.0,Not Sure,B,B,D,C,A,D,C,A,,C,BBDCADCA_C,0.6,STEM Track,0.0,0.0,R,R,R,R,R,R,C,C,C,C,C,RRRRRRCCCCC,0,1,1,1,0,0,0,0,0,I am an engineer,Fun but it made me feel like I need to take a math course again,STEM Track,1194.0,16,White,Undergraduate degree (BA/BSc/other),24,Male,White,United States,United States,United States,English,No,Full-Time
8,6646448ac83b162ea65a4fff,B,C,B,B,D,A,C,C,C,,BCBBDACCC_,0.3,0.0,0.0,noisy,random,ground,Fail,black,90.0,0.0,5.0,Fail Box,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,0.0,0.0,R,R,R,R,R,R,R,R,R,R,R,RRRRRRRRRRR,0,0,1,0,0,0,0,0,0,"I am literally terrible at math, and I prefer English literature and history.",I was embarrassed about my abysmal math skills but felt pretty confident with the vocabulary questions. ,Non-STEM Track,860.0,460,White,Graduate degree (MA/MSc/MPhil/other),29,Female,White,United States,United States,United States,English,No,Full-Time
9,66fc12c9f1dfb65972597a3f,D,A,D,B,B,,,,,,DADBB_____,0.3,3.0,8.479,noisy,random,ground,Fail,black,50.0,5.0,5.0,Fail Box,D,B,A,C,B,D,A,B,C,C,DBACBDABCC,0.9,Non-STEM Track,2.0,0.779,R,R,R,C,C,C,C,C,C,C,C,RRRCCCCCCCC,0,0,1,0,1,1,0,0,0,i decided to choose the non stem track because i wasn't able to finish all of the math questions on section 2 so i got nervous,it was fun i just wish i had noticed there was a timer for section 2,Non-STEM Track,839.0,133,Latino/Hispanic,Undergraduate degree (BA/BSc/other),29,Female,White,United States,United States,Cuba,Spanish,Yes,Full-Time
10,67357e87a8bbd1bf5737b12f,D,C,B,C,,,,,,,DCBC______,0.0,0.0,0.0,noisy,random,negative,Fail,black,50.0,1.0,1.0,Fail Box,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,0.0,0.0,R,R,R,C,C,C,C,C,C,C,C,RRRCCCCCCCC,0,0,1,0,0,0,0,0,0,I'm not great at math,this was confusing,Non-STEM Track,879.0,11,White,Doctorate degree (PhD/other),40,Female,White,United States,United States,United States,English,No,Part-Time
11,671c1279b3833d369b3a5531,A,C,C,B,B,A,D,C,B,C,ACCBBADCBC,0.6,1.0,2.225,noisy,random,negative,Fail,black,70.0,7.0,8.0,Fail Box,B,A,C,A,A,D,C,A,B,C,BACAADCABC,1.0,STEM Track,2.0,10.872,R,C,C,C,C,C,C,C,C,C,C,RCCCCCCCCCC,0,0,1,0,0,0,0,0,0,I decided to choose the stem track because I wanted to work on the task,It was a nice experience and the task involves a lot of thinking,STEM Track,1791.0,0,Black/African American,Undergraduate degree (BA/BSc/other),29,Male,Black,Ghana,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
13,67337ca58aad7d9595168322,A,C,A,B,B,B,D,C,C,B,ACABBBDCCB,0.8,1.0,2.23,noisy,random,positive,Pass,red,80.0,7.0,6.0,Pass Box,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,0.0,0.0,R,R,R,R,R,R,C,C,C,C,C,RRRRRRCCCCC,0,0,1,0,0,0,0,0,0,I chose it before it will be less tasking.,The task was a little bit challenging but I enjoyed it.,Non-STEM Track,1042.0,18,Black/African American,Graduate degree (MA/MSc/MPhil/other),37,Male,Black,United States,United States,United States,English,Yes,Part-Time
14,55d3586fda14d7000e9531d9,A,C,D,B,A,C,D,C,A,C,ACDBACDCAC,0.4,0.0,0.0,noisy,random,negative,Fail,red,100.0,6.0,5.0,Pass Box,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,0.0,0.0,R,R,R,R,R,R,C,C,C,C,C,RRRRRRCCCCC,0,0,1,0,0,0,0,0,0,It would be easier for me to answer correctly,Good,Non-STEM Track,787.0,2648,White,Undergraduate degree (BA/BSc/other),33,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
15,66f2afde336a7132150eabe6,A,B,D,C,D,C,D,B,A,B,ABDCDCDBAB,0.3,0.0,0.0,noisy,random,ground,Fail,black,20.0,3.0,5.0,Fail Box,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,0.0,0.0,R,R,R,R,R,R,R,C,C,C,C,RRRRRRRCCCC,0,0,1,0,0,0,0,0,0,I am not great with math and STEM related questions.,na,Non-STEM Track,530.0,85,White,Technical/community college,31,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
16,63ed36862c7f66f95ab44d1b,A,A,A,A,A,A,A,A,A,A,AAAAAAAAAA,0.2,0.0,0.0,noisy,random,ground,Pass,red,0.0,0.0,0.0,Pass Box,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,0.0,0.0,R,R,R,R,R,C,C,C,C,C,C,RRRRRCCCCCC,0,0,1,0,0,0,0,0,0,I have a better understanding and am more adept at using things like language and logic than unfamiliar math. ,"The initial math quiz threw me off, I wasn't expecting to be dumped into a math quiz right off the bat lol. ",Non-STEM Track,533.0,317,Mixed,High school diploma/A-levels,42,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
17,60871d664054c52f5b2741ae,B,A,B,D,C,A,A,A,D,B,BABDCAAADB,0.2,0.0,0.0,noisy,random,ground,Pass,red,10.0,1.0,1.0,Pass Box,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,0.0,0.0,R,R,R,R,R,R,C,C,C,C,C,RRRRRRCCCCC,0,1,0,0,0,0,0,0,0,I am not good at STEM subjects.,A little overwhelming.  I didn't know how to compute any of those math problems.  ,Non-STEM Track,457.0,1716,White,Undergraduate degree (BA/BSc/other),52,Female,White,United States,United States,United States,English,No,Full-Time
18,66c75aaf68881d4b4e1248b6,D,A,B,C,B,B,,,,,DABCBB____,0.3,0.0,0.0,noisy,random,ground,Fail,black,50.0,1.0,5.0,Fail Box,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,0.0,0.0,R,R,R,R,R,C,C,C,C,C,C,RRRRRCCCCCC,1,1,1,0,0,0,0,0,0,THe Stem track was hard!,It was difficult and stressfull because the timer malke me feel rushed and the questions took me some time to breakdown and attempt to calculate.,Non-STEM Track,858.0,210,Latino/Hispanic,Undergraduate degree (BA/BSc/other),49,Female,Other,United States,United States,United States,English,No,DATA_EXPIRED
19,6732fe93f2e4c4706cc58ec0,D,A,D,D,A,C,D,A,A,A,DADDACDAAA,0.2,1.0,7.478,noisy,random,negative,Fail,red,70.0,4.0,5.0,Pass Box,C,B,A,B,B,D,A,B,C,D,CBABBDABCD,0.8,Non-STEM Track,0.0,0.0,R,R,R,R,R,C,C,C,C,C,C,RRRRRCCCCCC,0,1,0,0,0,0,0,0,0,the previous questions were tidious,no,Non-STEM Track,1552.0,1,White,Graduate degree (MA/MSc/MPhil/other),33,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
