Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Ethnicity,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
679bb2545356b26e9bf3dbc2,5b9eddfed259900001106b05,APPROVED,Not Applicable,2025-01-30T17:09:45.571000Z,2025-01-30T17:22:11.322000Z,2025-01-30T17:22:12.851000Z,2025-01-30T17:22:12.792262Z,746.0,C1BTHULB,5302,White,Doctorate degree (PhD/other),39,Male,White,United States,United States,United States,English,No,Full-Time
679bb3fdc82423baf9b5503c,66660a053b08e2a34f9b945c,APPROVED,Not Applicable,2025-01-30T17:16:54.990000Z,2025-01-30T17:29:42.676000Z,2025-01-30T17:30:06.358000Z,2025-01-30T17:30:10.633625Z,768.0,C1BTHULB,1299,Mixed,Technical/community college,36,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
679bb6529fe01a7f8a79daba,67628f90c6e5e88e4bc23cfc,APPROVED,Not Applicable,2025-01-30T17:26:50.293000Z,2025-01-30T17:46:38.511000Z,2025-01-30T17:47:47.090000Z,2025-01-30T17:47:34.945129Z,1189.0,C1BTHULB,41,Black/British,Graduate degree (MA/MSc/MPhil/other),44,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
679bb6a7f460223556f75250,65e9c96c5c619ee0d04d3508,APPROVED,Not Applicable,2025-01-30T17:31:07.806000Z,2025-01-30T17:55:31.254000Z,2025-01-30T17:55:47.061000Z,2025-01-30T17:55:46.874515Z,1464.0,C1BTHULB,266,Black/African American,Technical/community college,30,Female,Mixed,United States,United States,United States,English,Yes,Full-Time
679bb6d74e31bfd9c247adb5,5f8f54c1450c2d1b5984c34f,APPROVED,Not Applicable,2025-01-30T17:29:00.430000Z,2025-01-30T17:38:55.626000Z,2025-01-30T17:39:37.772000Z,2025-01-30T17:39:01.432733Z,596.0,C1BTHULB,628,White Sephardic Jew,Undergraduate degree (BA/BSc/other),27,Female,Other,United States,United States,United States,English,Yes,Unemployed (and job seeking)
679bb7fd5eb075d995d1d71c,5a7920bb5292b8000122899e,APPROVED,Not Applicable,2025-01-30T17:34:12.693000Z,2025-01-30T17:40:40.553000Z,2025-01-30T17:41:09.087000Z,2025-01-30T17:40:41.350224Z,388.0,C1BTHULB,963,White Sephardic Jew,High school diploma/A-levels,31,Male,White,United States,United States,United States,English,No,Part-Time
679bb81f4ab83aebfe9a74e3,65b29244459729780361bfbc,APPROVED,Not Applicable,2025-01-30T17:34:37.199000Z,2025-01-30T17:47:40.050000Z,2025-01-30T17:48:30.839000Z,2025-01-30T17:48:20.175347Z,783.0,C1BTHULB,136,Mixed,Undergraduate degree (BA/BSc/other),35,Female,Mixed,United States,United States,United States,English,No,Full-Time
679bb8737f717b6ee41fbeef,6711ad38bd46729f0fe8c1b2,APPROVED,Not Applicable,2025-01-30T17:36:03.928000Z,2025-01-30T17:48:21.210000Z,2025-01-30T17:48:50.022000Z,2025-01-30T17:48:41.776884Z,738.0,C1BTHULB,413,Latino/Hispanic,High school diploma/A-levels,34,Male,White,United States,United States,United States,English,No,Full-Time
679bb89335b2f6f11b1a6d88,6630e55b3b999569b5a36635,APPROVED,Not Applicable,2025-01-30T17:36:33.640000Z,2025-01-30T17:40:36.010000Z,2025-01-30T18:38:24.446000Z,2025-01-30T17:40:38.052607Z,243.0,C1BTHULB,1242,Latino/Hispanic,Graduate degree (MA/MSc/MPhil/other),44,Male,Mixed,United States,United States,United States,English,No,Part-Time
679bb8c07e31a1be7363f6cf,6717c51227a6e153e6871be2,APPROVED,Not Applicable,2025-01-30T17:37:14.662000Z,2025-01-30T17:54:08.771000Z,2025-01-30T17:54:23.793000Z,2025-01-30T17:54:10.372069Z,1015.0,C1BTHULB,22,Latino/Hispanic,High school diploma/A-levels,20,Male,Other,United States,United States,United States,English,Yes,Other
