Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Ethnicity,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66f19fd330ae5ecd77f3d702,6543b879aa5e69032959f4d1,APPROVED,Not Applicable,2024-09-23T17:05:28.807000Z,2024-09-23T17:12:38.019000Z,2024-09-23T17:15:33.149000Z,2024-09-23T17:15:48.798819Z,430.0,C1BTHULB,301,White,High school diploma/A-levels,27,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
66f1a05f83a561c9a3e67f8e,66a06477b60e5f14713a8fa4,APPROVED,Not Applicable,2024-09-23T17:07:53.644000Z,2024-09-23T17:20:03.957000Z,2024-09-23T18:20:22.962000Z,2024-09-23T18:22:07.704602Z,731.0,C1BTHULB,97,Black/African American,Graduate degree (MA/MSc/MPhil/other),29,Male,Black,DATA_EXPIRED,United States,United States,English,Yes,Part-Time
66f1a07cc9ccfc519d9a97fe,62839b5f73ebabded1ce5e68,APPROVED,Not Applicable,2024-09-23T17:08:17.593000Z,2024-09-23T17:15:28.840000Z,2024-09-23T17:16:03.541000Z,2024-09-23T17:18:24.778665Z,432.0,C1BTHULB,1262,Latino/Hispanic,Technical/community college,28,Male,Other,United States,United States,United States,Spanish,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66f1a080d9cb1d7e16685805,608209b96e955ba5201eff25,APPROVED,Not Applicable,2024-09-23T17:08:21.133000Z,2024-09-23T17:16:01.873000Z,2024-09-23T17:16:06.357000Z,2024-09-23T17:18:30.302807Z,461.0,C1BTHULB,4448,White,High school diploma/A-levels,23,Female,White,United States,United States,United States,English,Yes,Part-Time
66f1a088e5e6ecf9aa6ef0ea,63ced3af73cfcbe94e6f4043,APPROVED,Not Applicable,2024-09-23T17:11:19.205000Z,2024-09-23T17:16:07.550000Z,2024-09-23T21:29:14.312000Z,2024-09-23T17:18:32.438907Z,289.0,C1BTHULB,891,White,Undergraduate degree (BA/BSc/other),26,Female,White,United States,United States,United States,English,No,Full-Time
66f1a092d9cb1d7e16685809,5f8bad1242efeb2f49156f51,APPROVED,Not Applicable,2024-09-23T17:08:38.435000Z,2024-09-23T17:14:09.441000Z,2024-09-23T17:15:52.830000Z,2024-09-23T17:17:57.104730Z,332.0,C1BTHULB,2958,White,Undergraduate degree (BA/BSc/other),33,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
66f1a09af43c4ffd48e8da7d,6413cfb598399dc7fe1ae271,APPROVED,Not Applicable,2024-09-23T17:08:48.718000Z,2024-09-23T17:21:25.470000Z,2024-09-23T17:21:40.051000Z,2024-09-23T17:21:26.578175Z,757.0,C1BTHULB,521,White,High school diploma/A-levels,20,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
66f1a09dadd8e1f5832ae540,66ac666f3e030205c277b763,APPROVED,Not Applicable,2024-09-23T17:08:58.945000Z,2024-09-23T17:27:17.762000Z,2024-09-23T17:27:18.762000Z,2024-09-23T17:27:18.670900Z,1099.0,C1BTHULB,24,Black/African American,Graduate degree (MA/MSc/MPhil/other),27,Male,Black,United States,United States,United States,English,Yes,Full-Time
66f1a0a39056f1657a3ee7c9,60fd00e1aef436cfec115076,APPROVED,Not Applicable,2024-09-23T17:08:56.087000Z,2024-09-23T17:17:00.808000Z,2024-09-23T17:17:01.804000Z,2024-09-23T17:18:46.607839Z,485.0,C1BTHULB,443,White,Graduate degree (MA/MSc/MPhil/other),31,Female,White,United States,United States,United States,English,No,Full-Time
66f1a0ff2037802f63d6ef35,66d4c64bfb150855203753d9,APPROVED,Not Applicable,2024-09-23T17:10:31.129000Z,2024-09-23T17:24:50.100000Z,2024-09-23T17:25:22.759000Z,2024-09-23T17:26:03.262202Z,859.0,C1BTHULB,18,Black/African American,Doctorate degree (PhD/other),32,Female,Black,United States,United States,United States,English,No,Full-Time
66f1a052934638c50f5bc944,5c0bd930a822970001a95603,RETURNED,Not Applicable,2024-09-23T17:07:37.981000Z,,,,,,1155,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
