Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Ethnicity,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66f1966e032450c7886a18ed,6361a6a7be16d8144319fd3a,APPROVED,Not Applicable,2024-09-23T16:25:22.919000Z,2024-09-23T16:31:03.134000Z,2024-09-23T16:51:03.080000Z,2024-09-23T16:31:35.536670Z,341.0,C1BTHULB,1775,White,Undergraduate degree (BA/BSc/other),40,Female,White,United States,United States,United States,English,No,Full-Time
66f19675d703e417fcc0d59c,6644cc5cd5c7910e43e9138d,APPROVED,Not Applicable,2024-09-23T16:25:50.025000Z,2024-09-23T16:30:22.213000Z,2024-09-23T16:51:03.368000Z,2024-09-23T16:30:28.801036Z,273.0,C1BTHULB,22,White,Undergraduate degree (BA/BSc/other),48,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66f196838fd75d3321990305,6082c37809793130ca4b3f0e,APPROVED,Not Applicable,2024-09-23T16:25:45.645000Z,2024-09-23T16:31:54.050000Z,2024-09-23T16:51:04.055000Z,2024-09-23T16:31:59.031729Z,369.0,C1BTHULB,2462,White,Graduate degree (MA/MSc/MPhil/other),55,Female,White,United States,United States,United States,English,No,Full-Time
66f1968b397de72f1969cef9,66e489884c328af28fd6c164,APPROVED,Not Applicable,2024-09-23T16:25:53.635000Z,2024-09-23T16:32:46.324000Z,2024-09-23T16:51:04.355000Z,2024-09-23T16:32:49.448691Z,413.0,C1BTHULB,2,White,Technical/community college,34,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66f196eec98bb40838ad5250,611d2052a2e24732a40fe5c6,APPROVED,Not Applicable,2024-09-23T16:27:46.295000Z,2024-09-23T16:33:59.785000Z,2024-09-23T16:51:04.659000Z,2024-09-23T16:34:11.390963Z,374.0,C1BTHULB,1621,White,Undergraduate degree (BA/BSc/other),25,Male,White,United States,United States,United States,English,Yes,Other
66f19734a8a57c2f0582689c,60fd039e56424472d825f1e5,APPROVED,Not Applicable,2024-09-23T16:28:41.739000Z,2024-09-23T16:50:48.191000Z,2024-09-23T16:50:49.113000Z,2024-09-23T16:51:37.535522Z,1327.0,C1BTHULB,624,Latino/Hispanic,Undergraduate degree (BA/BSc/other),23,Female,Other,United States,United States,United States,Spanish,No,Full-Time
66f1978e3593549ce42435d1,629753864174e42d30576cf8,APPROVED,Not Applicable,2024-09-23T16:30:11.383000Z,2024-09-23T16:41:43.872000Z,2024-09-23T16:42:03.564000Z,2024-09-23T16:41:45.247352Z,693.0,C1BTHULB,1677,White,High school diploma/A-levels,23,Male,White,United States,United States,United States,English,No,Other
66f197efa067a575f347a6f0,5aee513f3606ab0001b92b29,APPROVED,Not Applicable,2024-09-23T16:31:53.163000Z,2024-09-23T16:52:37.495000Z,2024-09-23T16:52:41.293000Z,2024-09-23T16:52:38.154419Z,1245.0,C1BTHULB,2289,White,Technical/community college,39,Male,White,United States,United States,United States,English,No,Full-Time
66f1985c816c925449ed60a5,5ef37831c37ebb0bbd2d3e03,APPROVED,Not Applicable,2024-09-23T16:35:49.654000Z,2024-09-23T16:53:40.157000Z,2024-09-23T16:53:44.158000Z,2024-09-23T16:53:41.096088Z,1071.0,C1BTHULB,3483,East Asian,Undergraduate degree (BA/BSc/other),28,Male,Asian,Philippines,United States,United States,Tagalog-Filipino,No,Full-Time
66f198a981652e798b2ae360,5e6484158bd03f1f1bdc1821,APPROVED,Not Applicable,2024-09-23T16:34:54.353000Z,2024-09-23T16:48:40.936000Z,2024-09-23T16:49:26.940000Z,2024-09-23T16:51:12.414233Z,827.0,C1BTHULB,1896,Latino/Hispanic,High school diploma/A-levels,34,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66f196827b222b7c0b66283f,5d41df0ca7b5800001a0341a,RETURNED,Not Applicable,2024-09-23T16:26:32.701000Z,,,,,,3127,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66f196a7e43ee6faa8ed5f9d,65ebc8f608c1ca0e4068f696,RETURNED,Not Applicable,2024-09-23T16:26:21.030000Z,,,,,,668,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
